,Perpetrator Sex,State,Relationship,Relationship Total
663,Female,New York,Acquaintance,332
664,Female,New York,Boyfriend,319
665,Female,New York,Son,255
666,Female,New York,Husband,225
667,Female,New York,Daughter,211
668,Female,New York,Stranger,138
669,Female,New York,Friend,133
670,Female,New York,Common-Law Husband,124
671,Female,New York,Family,95
672,Female,New York,Father,31
673,Female,New York,Mother,31
674,Female,New York,Brother,14
675,Female,New York,Sister,9
676,Female,New York,Neighbor,8
677,Female,New York,Boyfriend/Girlfriend,6
678,Female,New York,Employee,4
679,Female,New York,Ex-Husband,4
680,Female,New York,Girlfriend,3
681,Female,New York,Stepson,3
682,Female,New York,Wife,2
683,Female,New York,Employer,1
684,Female,New York,In-Law,1
685,Female,New York,Stepfather,1
686,Female,New York,Stepmother,1
687,Female,North Carolina,Husband,413
688,Female,North Carolina,Boyfriend,394
689,Female,North Carolina,Acquaintance,377
690,Female,North Carolina,Unknown,175
691,Female,North Carolina,Son,119
692,Female,North Carolina,Stranger,100
693,Female,North Carolina,Friend,96
694,Female,North Carolina,Daughter,91
695,Female,North Carolina,Family,56
696,Female,North Carolina,Brother,25
697,Female,North Carolina,Ex-Husband,22
698,Female,North Carolina,Father,21
699,Female,North Carolina,Mother,21
700,Female,North Carolina,Neighbor,16
701,Female,North Carolina,Common-Law Husband,14
702,Female,North Carolina,In-Law,8
703,Female,North Carolina,Sister,6
704,Female,North Carolina,Stepfather,6
705,Female,North Carolina,Boyfriend/Girlfriend,2
706,Female,North Carolina,Girlfriend,2
707,Female,North Carolina,Wife,2
708,Female,North Carolina,Employee,1
709,Female,North Carolina,Stepdaughter,1
710,Female,North Dakota,Husband,8
711,Female,North Dakota,Daughter,5
712,Female,North Dakota,Acquaintance,4
713,Female,North Dakota,Boyfriend,4
714,Female,North Dakota,Son,4
715,Female,North Dakota,Mother,2
716,Female,North Dakota,Brother,1
717,Female,North Dakota,Ex-Husband,1
718,Female,North Dakota,Father,1
719,Female,North Dakota,Friend,1
720,Female,North Dakota,Neighbor,1
721,Female,North Dakota,Stranger,1
722,Female,North Dakota,Unknown,1
723,Female,Ohio,Acquaintance,391
724,Female,Ohio,Husband,315
725,Female,Ohio,Boyfriend,237
726,Female,Ohio,Daughter,159
727,Female,Ohio,Son,143
728,Female,Ohio,Unknown,128
729,Female,Ohio,Stranger,93
730,Female,Ohio,Common-Law Husband,51
731,Female,Ohio,Family,48
732,Female,Ohio,Friend,42
733,Female,Ohio,Neighbor,33
734,Female,Ohio,Ex-Husband,24
735,Female,Ohio,Father,21
736,Female,Ohio,Mother,21
737,Female,Ohio,Sister,19
738,Female,Ohio,Brother,12
739,Female,Ohio,In-Law,10
740,Female,Ohio,Stepfather,9
741,Female,Ohio,Boyfriend/Girlfriend,7
742,Female,Ohio,Employee,4
743,Female,Ohio,Girlfriend,2
744,Female,Ohio,Employer,1
745,Female,Ohio,Stepdaughter,1
746,Female,Ohio,Stepson,1
747,Female,Oklahoma,Husband,209
748,Female,Oklahoma,Acquaintance,208
749,Female,Oklahoma,Boyfriend,117
750,Female,Oklahoma,Son,76
751,Female,Oklahoma,Daughter,56
752,Female,Oklahoma,Common-Law Husband,52
753,Female,Oklahoma,Stranger,45
754,Female,Oklahoma,Ex-Husband,25
755,Female,Oklahoma,Friend,25
756,Female,Oklahoma,Unknown,23
757,Female,Oklahoma,Family,22
758,Female,Oklahoma,Father,16
759,Female,Oklahoma,In-Law,10
760,Female,Oklahoma,Brother,8
761,Female,Oklahoma,Mother,8
762,Female,Oklahoma,Boyfriend/Girlfriend,5
763,Female,Oklahoma,Stepfather,5
764,Female,Oklahoma,Stepdaughter,3
765,Female,Oklahoma,Employer,1
766,Female,Oklahoma,Neighbor,1
767,Female,Oklahoma,Sister,1
768,Female,Oklahoma,Stepmother,1
769,Female,Oklahoma,Stepson,1
770,Female,Oregon,Boyfriend,60
771,Female,Oregon,Acquaintance,57
772,Female,Oregon,Husband,55
773,Female,Oregon,Son,40
774,Female,Oregon,Daughter,39
775,Female,Oregon,Unknown,22
776,Female,Oregon,Stranger,20
777,Female,Oregon,Family,16
778,Female,Oregon,Friend,12
779,Female,Oregon,Mother,11
