,Year,State,Year
,,,count
1013,2000,Kansas,49
1014,2000,Kentucky,73
1015,2000,Louisiana,558
1016,2000,Maine,15
1017,2000,Maryland,462
1018,2000,Massachusetts,119
1019,2000,Michigan,694
1020,2000,Minnesota,113
1021,2000,Mississippi,174
1022,2000,Missouri,343
1023,2000,Montana,12
1024,2000,Nebraska,29
1025,2000,Nevada,135
1026,2000,New Hampshire,15
1027,2000,New Jersey,298
1028,2000,New Mexico,126
1029,2000,New York,956
1030,2000,North Carolina,570
1031,2000,North Dakota,4
1032,2000,Ohio,372
1033,2000,Oklahoma,202
1034,2000,Oregon,71
1035,2000,Pennsylvania,604
1036,2000,Rhodes Island,45
1037,2000,South Carolina,288
1038,2000,South Dakota,8
1039,2000,Tennessee,435
1040,2000,Texas,1308
1041,2000,Utah,54
1042,2000,Vermont,10
1043,2000,Virginia,398
1044,2000,Washington,203
1045,2000,West Virginia,64
1046,2000,Wisconsin,172
1047,2000,Wyoming,12
1048,2001,Alabama,347
1049,2001,Alaska,39
1050,2001,Arizona,448
1051,2001,Arkansas,147
1052,2001,California,2357
1053,2001,Colorado,154
1054,2001,Connecticut,112
1055,2001,Delaware,29
1056,2001,District of Columbia,1
1057,2001,Florida,927
1058,2001,Georgia,575
1059,2001,Hawaii,36
1060,2001,Idaho,33
1061,2001,Illinois,687
1062,2001,Indiana,381
1063,2001,Iowa,53
1064,2001,Kansas,80
1065,2001,Kentucky,81
1066,2001,Louisiana,511
1067,2001,Maine,21
1068,2001,Maryland,485
1069,2001,Massachusetts,151
1070,2001,Michigan,674
1071,2001,Minnesota,120
1072,2001,Mississippi,193
1073,2001,Missouri,396
1074,2001,Montana,22
1075,2001,Nebraska,19
1076,2001,Nevada,197
1077,2001,New Hampshire,19
1078,2001,New Jersey,355
1079,2001,New Mexico,98
1080,2001,New York,949
1081,2001,North Carolina,543
1082,2001,North Dakota,9
1083,2001,Ohio,452
1084,2001,Oklahoma,215
1085,2001,Oregon,102
1086,2001,Pennsylvania,657
1087,2001,Rhodes Island,40
1088,2001,South Carolina,333
1089,2001,South Dakota,10
1090,2001,Tennessee,444
1091,2001,Texas,1387
1092,2001,Utah,82
1093,2001,Vermont,7
1094,2001,Virginia,377
1095,2001,Washington,199
1096,2001,West Virginia,40
1097,2001,Wisconsin,198
1098,2001,Wyoming,11
1099,2002,Alabama,292
1100,2002,Alaska,41
1101,2002,Arizona,446
1102,2002,Arkansas,146
